Slot,Image file,Bytes,Provenance,Used on
gisHeatmap,heat-gis.png,2017267,AI-GENERATED (signed),data/bursary.js | data/home.js | data/innovation.js | pages/Dashboard/index.jsx | pages/GIS/index.jsx | services/innovationService.js | services/projectService.js | utils/contentImages.js
logo,dept-of-energy-white.png,56331,official Department lockup - not a photograph,"header and footer (via BRANDING, not PAGE_IMAGES)"
logoPublic,dept-of-energy-white.png,56331,official Department lockup - not a photograph,"header and footer (via BRANDING, not PAGE_IMAGES)"
evFleetBermuda,ev-fleet-bermuda.jpg,199269,real photograph (camera data),data/dashboard.js
solarFieldBermuda,solar-field-bermuda.jpg,362020,real photograph (camera data),data/bursary.js | data/dashboard.js | data/education.js | data/home.js | data/news.js | pages/Dashboard/RenewableDashboard.jsx | services/innovationService.js | services/projectService.js | utils/contentImages.js | utils/policyImages.js
summerStudentPhoto,summer-student-photo.jpg,93032,real photograph (camera data),services/newsService.js
analytics,analytics.jpg,86079,unknown - metadata stripped,data/innovation.js | pages/Dashboard/TransitionDashboard.jsx | pages/Energy/index.jsx | utils/policyImages.js
balconySolar,balcony-solar.jpg,209080,unknown - metadata stripped,data/education.js | data/home.js | data/projects.js | services/projectService.js | utils/contentImages.js | utils/policyImages.js
battery,battery-storage.jpg,243100,unknown - metadata stripped,data/bursary.js | data/education.js | data/innovation.js | pages/Dashboard/RenewableDashboard.jsx | pages/Home/index.jsx | services/innovationService.js
batteryRooms,battery-rooms.jpg,243100,unknown - metadata stripped,data/dashboard.js | services/projectService.js
batteryStorage,battery-storage.jpg,243100,unknown - metadata stripped,(not referenced)
bermuda,bermuda.jpg,180958,unknown - metadata stripped,data/space.js | pages/NotFound/index.jsx
bermudaVision,bermuda-vision.webp,541000,unknown - metadata stripped,pages/About/index.jsx
bhcHousing,bhc-housing.jpg,235061,unknown - metadata stripped,data/home.js | data/news.js | data/projects.js | pages/About/index.jsx | pages/Simulator/index.jsx | services/projectService.js | utils/contentImages.js
blockchain,blockchain.jpg,54461,unknown - metadata stripped,data/innovation.js
bursary,bursary.jpg,117486,unknown - metadata stripped,(not referenced)
bus,bus.jpg,244838,unknown - metadata stripped,data/dashboard.js | data/home.js
charging,charging.jpg,88743,unknown - metadata stripped,data/dashboard.js | data/education.js | data/installers.js | data/projects.js | pages/Energy/Vehicles.jsx | services/projectService.js
consultation,consultation.jpg,58394,unknown - metadata stripped,data/home.js | data/news.js | pages/Consultations/index.jsx | pages/Energy/index.jsx | pages/ProgressTracker/index.jsx | utils/policyImages.js
contact,bermuda.jpg,180958,unknown - metadata stripped,pages/Contact/index.jsx
dockyardSolar,dockyard-solar.jpg,147020,unknown - metadata stripped,data/dashboard.js | data/innovation.js | pages/Registry/index.jsx | services/innovationService.js | services/projectService.js
dptElectrification,dpt-electrification.jpg,36784,unknown - metadata stripped,data/dashboard.js | data/projects.js | services/projectService.js
education,education.jpg,114721,unknown - metadata stripped,pages/Bursary/index.jsx | pages/Dashboard/index.jsx
educationOutreach,education-outreach.jpg,80081,unknown - metadata stripped,data/education.js | data/home.js | data/news.js | pages/Education/index.jsx | utils/contentImages.js
efficiency,efficiency.jpg,145546,unknown - metadata stripped,data/bursary.js | data/education.js | data/innovation.js | data/projects.js | pages/Energy/index.jsx | services/projectService.js
electricBus,electric-bus.jpg,7151,unknown - metadata stripped,data/news.js | pages/Dashboard/TransitionDashboard.jsx | utils/policyImages.js
electricBuses,electric-buses.jpg,103521,unknown - metadata stripped,data/bursary.js | services/innovationService.js | utils/contentImages.js | utils/policyImages.js
energy,energy.jpg,116852,unknown - metadata stripped,pages/Energy/index.jsx | pages/News/index.jsx | utils/policyImages.js
ev,ev.jpg,154494,unknown - metadata stripped,data/education.js | data/home.js | pages/Dashboard/TransitionDashboard.jsx | pages/Energy/index.jsx | pages/Energy/Vehicles.jsx | services/projectService.js
evExpo,ev-expo.jpg,102934,unknown - metadata stripped,data/dashboard.js
floatingSolar,floating-solar.jpg,50990,unknown - metadata stripped,data/bursary.js | data/education.js | pages/About/index.jsx | services/projectService.js
government,government.jpg,48251,unknown - metadata stripped,pages/About/index.jsx | pages/Contact/index.jsx | pages/Legal/LegalPage.jsx | pages/Policies/index.jsx | utils/policyImages.js
govSolarField,gov-solar-field.jpg,416991,unknown - metadata stripped,data/bursary.js | data/education.js | data/projects.js | pages/Projects/index.jsx | services/projectService.js | utils/policyImages.js
