row,no,addr,district,action,conf,via,why,oldLat,oldLng,newLat,newLng,movedKm
2,PDP-0037-19,42 Smiths Island,St. George,kept,,,,32.370337,-64.662784,32.370337,-64.662784,
3,BR-0060-19,36 Wellington Street,Town of St. George,kept,,,,32.3795954,-64.6798981,32.3795954,-64.6798981,
4,BC-0026-19,11 Woodlands Road,Pembroke,kept,,,,32.2995297,-64.7891029,32.2995297,-64.7891029,
5,PDP-0075-19,22 Rose Hill Road,Southampton,kept,,,,32.2611314,-64.8705102,32.2611314,-64.8705102,
6,PDP-0071-19,12 Cedar Hurst Place,Southampton,kept,,,,32.2592094,-64.8649653,32.2592094,-64.8649653,
7,PDP-0102-19,165 South Road,Paget,kept,,,,32.2896781,-64.7642965,32.2896781,-64.7642965,
8,BR-0082-19,10 North Ridge Crescent Unit: B,Devonshire,kept,,,,32.3118319,-64.7551732,32.3118319,-64.7551732,
9,PDP-0134-19,4 Pokiok Road,Smiths,kept,,,,32.3087506,-64.7345598,32.3087506,-64.7345598,
10,PDP-0146-19,23 Green Acres Road,Devonshire,kept,,,,32.30428,-64.746756,32.30428,-64.746756,
11,PDP-0059-19,31 Tuckers Town Road,St. George,RELOCATED,near-number,#32 tuckers town road,>0.3km from tuckers town road,32.333312,-64.688369,32.3337718,-64.6837334,0.44
12,PDP-0163-19,2 Fort George Drive,Town of St. George,kept,,,,32.3796724,-64.6823431,32.3796724,-64.6823431,
13,PDP-0188-20,4 Sound View Road,Sandys,kept,,,,32.2981931,-64.862352,32.2981931,-64.862352,
14,BC-0102-19,19 Richmond Road,Pembroke,kept,,,,32.2956001,-64.7900269,32.2956001,-64.7900269,
15,PDP-0194-20,2 Pokiok Close,Smiths,kept,,,,32.3089606,-64.7343679,32.3089606,-64.7343679,
16,PDP-0197-20,2 Sound View Road,Sandys,kept,,,,32.2983597,-64.8623751,32.2983597,-64.8623751,
17,PDP-0212-20,1 Overock Hill,Pembroke,kept,,,,32.2934927,-64.8035325,32.2934927,-64.8035325,
18,PDP-0221-20,50 Ord Road,Paget,kept,,,,32.277945,-64.781967,32.277945,-64.781967,
19,PDP-0218-20,6 Frolic Lane,Southampton,kept,,,,32.2584617,-64.8211233,32.2584617,-64.8211233,
20,PDP-0232-20,162 Middle Road,Devonshire,kept,,,,32.3118689,-64.7485771,32.3118689,-64.7485771,
21,PDP-0199-20,22 Industrial Park Road,Southampton,kept,,,,32.2524794,-64.8650018,32.2524794,-64.8650018,
22,PDP-0258-20,9 Cavendish Road,Pembroke,kept,,,,32.2941,-64.7761183,32.2941,-64.7761183,
23,PDP-0256-20,40 Tanglewood Road,Paget,kept,,,,32.278633,-64.78815,32.278633,-64.78815,
24,PDP-0261-20,7 Flowercote Lane,Smiths,kept,,,,32.318055,-64.726019,32.318055,-64.726019,
25,PDP-0255-20,6 Flowercote Lane,Smiths,kept,,,,32.318542,-64.726049,32.318542,-64.726049,
26,PDP-0061-19,3 Clingstone Lane,Hamilton,kept,,,,32.3397028,-64.7090333,32.3397028,-64.7090333,
27,BR-0182-20,9 Abri Lane,Pembroke,kept,,,,32.3029102,-64.8075487,32.3029102,-64.8075487,
28,PDP-0272-20,8 Lemarc Estate,Warwick,kept,,,,32.2611639,-64.8135823,32.2611639,-64.8135823,
29,PDP-0273-20,3 Perots Island,Southampton,kept,,,,32.260736,-64.830029,32.260736,-64.830029,
30,PDP-0274-20,47 Harrington Sound Road,Smiths,RELOCATED,near-number,#46 harrington sound road,>0.3km from harrington sound road,32.3224614,-64.7214824,32.3222624,-64.7248685,0.32
31,BR-0208-20,6 Southcote Road,Paget,kept,,,,32.2776505,-64.781677,32.2776505,-64.781677,
32,PDP-0267-20,97 Middle Road,Southampton,RELOCATED,near-number,#98 middle road,>0.3km from middle road,32.2535982,-64.8536045,32.2543371,-64.8435591,0.95
33,PDP-0265-20,4 Tranquillity Lane,St. George,kept,,,,32.3696418,-64.6673787,32.3696418,-64.6673787,
34,PDP-0289-20,25 Camden North Road,Paget,kept,,,,32.295916,-64.761832,32.295916,-64.761832,
35,BR-0198-20,14 Belmont Road,Warwick,kept,,,,32.274053,-64.8034768,32.274053,-64.8034768,
36,BR-0218-20,4 Bellevue Drive,Paget,kept,,,,32.286077,-64.770124,32.286077,-64.770124,
37,PDP-0148-19,9 East Point Lane,Hamilton,kept,,,,32.3255161,-64.7412199,32.3255161,-64.7412199,
38,BR-0207-20,9 Spice Hill Road,Warwick,RELOCATED,street-anchored,#85 spice hill road,>1.2km from spice hill road,32.2604984,-64.8180176,32.2631567,-64.805297,1.23
39,PDP-0309-20,41 South Road,Southampton,kept,,,,32.250338,-64.848699,32.250338,-64.848699,
40,PDP-0303-20,48 South Road,Southampton,kept,,,,32.249024,-64.841185,32.249024,-64.841185,
41,BR-0260-20,10 Harbour Road,Warwick,RELOCATED,street-anchored,#89 harbour road,>1.2km from harbour road,32.269838,-64.816052,32.2808345,-64.7962048,2.23
42,BR-0233-20,10 Upland Lane,Warwick,kept,,,,32.269325,-64.790744,32.269325,-64.790744,
43,PDP-0349-20,25 Pitts Bay Road,Pembroke,kept,,,,32.2965483,-64.7962481,32.2965483,-64.7962481,
44,PDP-0311-20,2 Tanglewood Road,Paget,kept,,,,32.277494,-64.789474,32.277494,-64.789474,
45,PDP-0362-20,6 Inglewood Lane,Paget,kept,,,,32.286448,-64.767161,32.286448,-64.767161,
46,BR-0283-20,10 North Court Avenue,Pembroke,kept,,,,32.3044057,-64.7991857,32.3044057,-64.7991857,
47,BR-0244-20,18 Cambridge Road,Sandys,kept,,,,32.3059986,-64.8689317,32.3059986,-64.8689317,
48,PDP-0365-20,11 Rosemont Avenue,Pembroke,kept,,,,32.2959526,-64.7928811,32.2959526,-64.7928811,
49,PDP-0381-20,41 Tuckers Town Road,St. George,kept,,,,32.3336302,-64.6860786,32.3336302,-64.6860786,
50,PDP-0389-20,7 Stokes Point Road,St. George,kept,,,,32.3733523,-64.6912591,32.3733523,-64.6912591,
51,BC-0162-20,46 Front Street,City of Hamilton,kept,,,,32.2922369,-64.7852386,32.2922369,-64.7852386,
52,PDP-0395-20,12 Fort George Hill,Town of St. George,kept,,,,32.3798619,-64.6830048,32.3798619,-64.6830048,
53,PDP-0397-20,36 Hinson Island,Paget,kept,,,,32.282623,-64.800339,32.282623,-64.800339,
54,PDP-0409-20,9 Cavello Heights,Sandys,kept,,,,32.2970438,-64.8635236,32.2970438,-64.8635236,
55,PDP-0405-20,41 Hinson Island,Paget,kept,,,,32.282095,-64.801389,32.282095,-64.801389,
56,PDP-0424-20,90 White Sands Road,Paget,kept,,,,32.2788802,-64.7703172,32.2788802,-64.7703172,
57,PDP-0421-20,36 Middle Road,Paget,kept,,,,32.280149,-64.783894,32.280149,-64.783894,
58,PDP-0431-20,2 Coral Hill Lane,Warwick,kept,,,,32.271906,-64.789187,32.271906,-64.789187,
59,PDP-0430-20,57 St. David's Road,St. George,kept,,,,32.3657366,-64.6634534,32.3657366,-64.6634534,
60,PDP-0446-20,15 Turk's Head Lane,Devonshire,kept,,,,32.2978371,-64.75516,32.2978371,-64.75516,
61,PDP-0443-20,1 Salt Spray Lane,St. George,kept,,,,32.3815884,-64.6669631,32.3815884,-64.6669631,
62,PDP-0427-20,6 Glebe Hill,Hamilton,kept,,,,32.3328226,-64.7026464,32.3328226,-64.7026464,
63,PDP-0453-20,10 Agar's Hill,Pembroke,kept,,,,32.2941588,-64.8053915,32.2941588,-64.8053915,
64,BR-0322-20,3 Woodbourne Crescent,Pembroke,kept,,,,32.2936196,-64.790057,32.2936196,-64.790057,
65,PDP-0452-20,18 Church Road,Southampton,kept,,,,32.2510247,-64.8460776,32.2510247,-64.8460776,
66,PDP-0264-20,6 Riviera Road,Southampton,kept,,,,32.2576203,-64.8273125,32.2576203,-64.8273125,
67,PDP-0502-20,15 Berry Hill Road,Paget,kept,,,,32.2939551,-64.7682289,32.2939551,-64.7682289,
68,PDP-0507-20,1 Speakers Drive,St. George,kept,,,,32.378457,-64.685103,32.378457,-64.685103,
69,PDP-0477-20,40 Tribe Road No 2 Unit: A,Warwick,kept,,,,32.2719551,-64.7948178,32.2719551,-64.7948178,
70,BR-0359-20,6 Old Slip Lane,Pembroke,kept,,,,32.2911702,-64.795966,32.2911702,-64.795966,
71,BC-0067-19,1 The Lane,Paget,kept,,,,32.2899416,-64.772349,32.2899416,-64.772349,
72,BC-0217-20,18 Point Finger Road,Paget,kept,,,,32.2922687,-64.7678844,32.2922687,-64.7678844,
73,BC-0179-20,26 Bermudiana Road,City of Hamilton,kept,,,,32.2925451,-64.7875355,32.2925451,-64.7875355,
74,PDP-0558-20,53 South Road,Warwick,RELOCATED,street-anchored,#34 south road,wrong parish,32.249392,-64.844169,32.2614822,-64.8029824,4.1
75,PDP-0511-20,6 Upland Close,Devonshire,kept,,,,32.3060828,-64.7520697,32.3060828,-64.7520697,
76,PDP-0517-20,9 Point Shares Road,Pembroke,kept,,,,32.2941285,-64.7997008,32.2941285,-64.7997008,
77,PDP-0594-20,32 Harrington Hundreds Road,Smiths,kept,,,,32.3158961,-64.7248843,32.3158961,-64.7248843,
78,PDP-0516-20,8 Woodstock Hill,Paget,kept,,,,32.286299,-64.764576,32.286299,-64.764576,
79,B0008-21,30 Tanglewood Road,Paget,kept,,,,32.27758,-64.787245,32.27758,-64.787245,
80,PDP-0615-20,5 Highwood Lane,Paget,kept,,,,32.2878187,-64.7792227,32.2878187,-64.7792227,
81,BC-0250-20,27 King Street,City of Hamilton,kept,,,,32.2962748,-64.7784935,32.2962748,-64.7784935,
82,PDP-0601-20,88 White Sands Road,Paget,kept,,,,32.2786638,-64.7705188,32.2786638,-64.7705188,
83,PDP-0613-20,4 Marley Beach Lane,Warwick,kept,,,,32.264246,-64.797304,32.264246,-64.797304,
84,BR-0420-20,8 West Side Road,Sandys,kept,,,,32.3006358,-64.8772515,32.3006358,-64.8772515,
85,PDP-0614-20,5 Marley Beach Drive,Warwick,kept,,,,32.264147,-64.797643,32.264147,-64.797643,
86,B0017-21,63 Texas Road,St. George,kept,,,,32.366174,-64.655897,32.366174,-64.655897,
87,B0019-21,80 Middle Road,Smiths,kept,,,,32.3200049,-64.7348835,32.3200049,-64.7348835,
88,B0018-21,9 Flowercote Lane,Smiths,kept,,,,32.317914,-64.726296,32.317914,-64.726296,
89,B0011-21,10 Brown Estates Road,Hamilton,RELOCATED,street,brown estates road (12 pts in parish),wrong parish,32.2942679,-64.7853167,32.33713,-64.7316489,6.95
90,B0020-21,5 Piper's Peak,Warwick,kept,,,,32.2625823,-64.8081918,32.2625823,-64.8081918,
91,B0015-21,27 Devon Point Lane,Devonshire,kept,,,,32.3004091,-64.7432977,32.3004091,-64.7432977,
92,B0010-21,38 Middle Road,Paget,kept,,,,32.2803718,-64.7836317,32.2803718,-64.7836317,
93,BR0013-21,22 Fairvale Lane,Warwick,kept,,,,32.273048,-64.794697,32.273048,-64.794697,
94,BR0015-21,17 Sound View Road,Sandys,kept,,,,32.2953411,-64.8629142,32.2953411,-64.8629142,
95,B0097-21,1 Eustace Close,Southampton,kept,,,,32.2596779,-64.8661032,32.2596779,-64.8661032,
96,BR-0412-20,24 Skyline Road,Smiths,kept,,,,32.3195565,-64.7205489,32.3195565,-64.7205489,
97,BC0035-21,40 North Shore Road,Hamilton,kept,,,,32.3235107,-64.7369515,32.3235107,-64.7369515,
98,B0176-21,2 Sanz Close,Pembroke,kept,,,,32.2941,-64.7963,32.2941,-64.7963,
99,B0139-21,22 Tee Street,Devonshire,kept,,,,32.296095,-64.75857,32.296095,-64.75857,
100,BR0068-21,21 Harbour Road,Warwick,RELOCATED,street-anchored,#89 harbour road,>1.2km from harbour road,32.270992,-64.813991,32.2808345,-64.7962048,2
101,B0150-21,26 Middle Road Unit: A,Paget,kept,,,,32.280183,-64.784913,32.280183,-64.784913,
102,B0156-21,6 Ocean Lane,Pembroke,kept,,,,32.304537,-64.786334,32.304537,-64.786334,
103,B0107-21,22 Happy Valley Road,Pembroke,kept,,,,32.296584,-64.774937,32.296584,-64.774937,
