row,no,addr,district,action,conf,via,oldLat,oldLng,newLat,newLng,movedKm
2,PDP-0037-19,42 Smiths Island,St. George,REVIEW,parish-anchor,street not in OSM,32.370337,-64.662784,32.3632247,-64.6778274,1.62
3,BR-0060-19,36 Wellington Street,Town of St. George,OSM,exact,wellington street,32.3795954,-64.6798981,32.379602,-64.6799249,0
4,BC-0026-19,11 Woodlands Road,Pembroke,kept,client-original,,32.2995297,-64.7891029,32.2995297,-64.7891029,0
5,PDP-0075-19,22 Rose Hill Road,Southampton,kept,client-original,,32.2611314,-64.8705102,32.2611314,-64.8705102,0
6,PDP-0071-19,12 Cedar Hurst Place,Southampton,kept,client-original,,32.2592094,-64.8649653,32.2592094,-64.8649653,0
7,PDP-0102-19,165 South Road,Paget,RECOVERED,client-point,client coordinate sitting on south road,32.2896781,-64.7642965,32.282015,-64.77564,1.37
8,BR-0082-19,10 North Ridge Crescent Unit: B,Devonshire,kept,client-original,,32.3118319,-64.7551732,32.3118319,-64.7551732,0
9,PDP-0134-19,4 Pokiok Road,Smiths,OSM,street,pokiok road,32.3087506,-64.7345598,32.3092928,-64.7335728,0.11
10,PDP-0146-19,23 Green Acres Road,Devonshire,kept,client-original,,32.30428,-64.746756,32.30428,-64.746756,0
11,PDP-0059-19,31 Tuckers Town Road,St. George,kept,client-original,,32.333312,-64.688369,32.333312,-64.688369,0
12,PDP-0163-19,2 Fort George Drive,Town of St. George,kept,client-original,,32.3796724,-64.6823431,32.3796724,-64.6823431,0
13,PDP-0188-20,4 Sound View Road,Sandys,RECOVERED,client-point,client coordinate sitting on sound view road,32.2981931,-64.862352,32.2953411,-64.8629142,0.32
14,BC-0102-19,19 Richmond Road,Pembroke,RECOVERED,client-point,client coordinate sitting on richmond road,32.2956001,-64.7900269,32.2942516,-64.7880402,0.24
15,PDP-0194-20,2 Pokiok Close,Smiths,kept,client-original,,32.3089606,-64.7343679,32.3089606,-64.7343679,0
16,PDP-0197-20,2 Sound View Road,Sandys,RECOVERED,client-point,client coordinate sitting on sound view road,32.2983597,-64.8623751,32.294539,-64.869691,0.81
17,PDP-0212-20,1 Overock Hill,Pembroke,kept,client-original,,32.2934927,-64.8035325,32.2934927,-64.8035325,0
18,PDP-0221-20,50 Ord Road,Paget,kept,client-original,,32.277945,-64.781967,32.277945,-64.781967,0
19,PDP-0218-20,6 Frolic Lane,Southampton,OSM,street,frolic lane,32.2584617,-64.8211233,32.2580681,-64.8209506,0.05
20,PDP-0232-20,162 Middle Road,Devonshire,RECOVERED,client-point,client coordinate sitting on middle road,32.3118689,-64.7485771,32.30203,-64.757146,1.36
21,PDP-0199-20,22 Industrial Park Road,Southampton,kept,client-original,,32.2524794,-64.8650018,32.2524794,-64.8650018,0
22,PDP-0258-20,9 Cavendish Road,Pembroke,kept,client-original,,32.2941,-64.7761183,32.2941,-64.7761183,0
23,PDP-0256-20,40 Tanglewood Road,Paget,kept,client-original,,32.278633,-64.78815,32.278633,-64.78815,0
24,PDP-0261-20,7 Flowercote Lane,Smiths,kept,client-original,,32.318055,-64.726019,32.318055,-64.726019,0
25,PDP-0255-20,6 Flowercote Lane,Smiths,kept,client-original,,32.318542,-64.726049,32.318542,-64.726049,0
26,PDP-0061-19,3 Clingstone Lane,Hamilton,kept,client-original,,32.3397028,-64.7090333,32.3397028,-64.7090333,0
27,BR-0182-20,9 Abri Lane,Pembroke,kept,client-original,,32.3029102,-64.8075487,32.3029102,-64.8075487,0
28,PDP-0272-20,8 Lemarc Estate,Warwick,kept,client-original,,32.2611639,-64.8135823,32.2611639,-64.8135823,0
