Permit Number,Address,Capacity kW,Latitude,Longitude,Why listed
PDP-0037-19,"42 Smiths Island, St. George's, BM DD01, Bermuda",5.325,32.371716,-64.6645257,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
PDP-0273-20,"3 Perots Island, Southampton, BM SN04, Bermuda",7.9,32.260736,-64.830029,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
PDP-0397-20,"36 Hinson Island, Paget, BM PG01, Bermuda",9.135,32.282623,-64.800339,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
PDP-0405-20,"41 Hinson Island, Paget, BM PG01, Bermuda",5.04,32.282095,-64.801389,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
BR0013-21,"22 Fairvale Lane, Warwick, BM WK09, Mexico",4.08,32.273048,-64.794697,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
BR0222-21,"26 Castile Road, Warwick, BM WK04, Mexico",12.58,32.265839,-64.829075,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0215-22,"6 Aunt Jinny's Lane, St. George's, DD03",3.48,32.368196,-64.673791,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
BR0083-22,"2 Trunk Island, Hamilton, CR01",2.67,32.333328,-64.727405,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0264-22,"6 Hinson Island, Paget, PG01",5.6,32.281492,-64.80354,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0253-22,"5 Fairyland Road, Pembroke, HM06", 6.84,32.296397,-64.799038,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0447-22,"49 Paynters Hill, St. George's, HS02", 10.22,32.3375,-64.70222,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0080-23,"2 Bloomfield Drive, Warwick, BM WK04, Bermuda", 7.665,32.263842,-64.821897,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0155-23,"26 Castile Road, Warwick, BM WK04",13.92,32.265839,-64.829075,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
BR0169-23,"1 Marshall Island, Warwick, BM WK05",64.38,32.269346975,-64.807804025,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0428-23,"11 Agar's Island, Pembroke, BM HM05",11,32.29370414931507,-64.8038436136986,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0487-23,"49 Bloomfield Drive, Warwick, BM WK04",13.69,32.293934,-64.769054,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0508-23,"12 Williams Estate, Smiths, BM FL05",13.695,32.248964,-64.839529,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0243-24,"15 Coopers Hill, Southampton, SN01, Bermuda", 5.18,32.306196,-64.735474,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0260-24,"28 Castile Road, Warwick, WK04, Bermuda",12.8,32.296333,-64.75155,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0323-24,"17 Friths Farm Road, Paget, PG03",3.48,32.302098,-64.761213,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0059-25,"49 Paynters Hill, St. George's, HS02",19.48,32.297044,-64.863524,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
BR0021-25,"3 Marshall Island, Warwick, WK05, Bermuda",12.47,32.368971,-64.681281,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
BR0020-25,"1 Marshall Island, Warwick, WK05",32.19,32.283819,-64.80844,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0070-25,"57 Bloomfield Drive, Warwick, WK04, Bermuda",12.18,32.337896,-64.701341,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0150-25,"33 Bloomfield Drive, Warwick, WK04",6.96,32.284683,-64.87527,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0181-25,"5 Fairyland Road, Pembroke, HM06",9.35,32.306537,-64.737434,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0197-25,"47 Paynters Hill, St. George's, HS02",7.4,32.273322,-64.806901,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0187-25,"19 Hinson Island, Paget, PG01",5.692,32.298704,-64.755451,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0375-25,"30 Castile Road, Warwick, WK04",5.58,32.317401,-64.72551,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0067-26,"34 Castile Road, Warwick, WK04",8.12,32.339728,-64.72997,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0133-26,"9 Williams Estate, Smiths, FL05",11.89,32.29434,-64.774311,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0147-26,"2 Welcome View, Southampton, SN01",4.94,32.265453,-64.800223,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
B0147-27,"Bermuda Airport Solar Farm (""The Finger"")",6000,32.359139,-64.685694,"street not in OpenStreetMap - coordinate is the Department supplied value, unverified"
